,umap_1,umap_2,paul15_clusters,state
W37507,7.377571,7.1814365,2Ery,
W37508,-7.4983406,7.109589,13Baso,
W37509,-5.6598525,8.5793,14Mo,
W37510,1.5353354,4.9925795,6Ery,
W37511,5.090275,4.378488,5Ery,
W37512,6.6729712,4.377253,4Ery,
W37514,-6.41401,6.5927525,13Baso,
W37515,0.5460621,5.4291744,7MEP,
W37516,3.346682,5.526957,5Ery,
W37517,5.6447988,5.4823256,5Ery,
W37518,-3.2354486,6.182421,10GMP,
W37519,-7.3163824,10.771365,16Neu,
W37520,7.8869224,4.1035504,2Ery,
W37521,-7.5964785,9.467272,14Mo,
W37522,7.7893405,3.773153,3Ery,
W37523,7.039451,5.332884,2Ery,
W37524,-5.4272532,6.227995,10GMP,
W37525,-6.9025097,11.157858,16Neu,
W37526,-0.19693854,6.137868,8Mk,
W37527,3.241121,4.5877223,6Ery,
W37528,-8.264877,9.031892,15Mo,
W37529,5.7460256,4.2259583,5Ery,
W37530,-4.4902296,7.1846666,10GMP,
W37531,0.5262484,4.534107,7MEP,
W37532,-6.9283295,7.266699,14Mo,
W37533,-2.53882,3.869072,19Lymph,19Lymph
W37534,8.258481,4.4378505,2Ery,
W37535,-7.397457,10.514472,15Mo,
W37537,8.109041,4.227964,3Ery,
W37538,3.8087914,4.756952,6Ery,
W37539,9.015554,5.7801685,1Ery,
W37540,8.608612,4.175675,2Ery,
W37541,8.911852,4.000248,3Ery,
W37542,8.097125,3.4346647,4Ery,
W37545,4.2497463,4.0789037,6Ery,
W37546,-6.8243155,6.5350018,13Baso,
W37548,7.416398,3.8891096,3Ery,
W37549,5.4094787,4.1671734,5Ery,
W37551,-3.2353067,8.306231,14Mo,
W37552,-8.389687,8.428458,13Baso,
W37553,-6.880724,6.8912597,13Baso,
W37554,7.8885384,3.6739087,3Ery,
W37555,6.379622,4.2249312,4Ery,
W37557,0.25622076,4.885032,7MEP,
W37558,-3.2266166,6.3999586,10GMP,
W37559,-5.116111,2.7392,11DC,11DC
W37561,8.197431,3.9500933,3Ery,
W37562,-6.018018,7.9392557,13Baso,
W37563,7.056777,5.938661,2Ery,
W37564,-5.1999364,6.972656,13Baso,
W37565,7.9268126,4.379345,2Ery,
W37566,7.194919,3.7534196,4Ery,
W37567,-3.1800163,5.8313084,10GMP,
W37568,-7.632116,10.8890915,16Neu,
W37569,-4.2602744,8.227399,14Mo,
W37570,-7.2444553,10.912184,16Neu,
W37572,-2.256964,6.6736274,10GMP,
W37573,6.0250688,6.126628,2Ery,
W37574,8.123148,6.19002,2Ery,
W37575,3.291411,4.517032,6Ery,
W37577,8.55913,3.448222,3Ery,3Ery
W37578,-8.067598,7.9509068,14Mo,
W37579,-4.776308,8.391494,14Mo,
W37580,-6.0120316,10.429186,15Mo,
W37581,-5.281527,6.7283673,10GMP,
W37582,-5.380014,7.837181,13Baso,
W37583,6.830379,3.8902187,3Ery,
W37584,0.69439805,5.569707,7MEP,
W37585,-8.242566,7.201691,13Baso,
W37586,7.7306995,7.0981483,2Ery,
W37587,-7.3736415,7.8428965,14Mo,
W37588,-7.1308923,7.3796005,14Mo,
W37589,-6.649234,8.136887,15Mo,
W37591,7.409407,4.5831122,4Ery,
W37593,-7.740437,10.209911,15Mo,
W37594,-7.180301,7.0756574,14Mo,
W37595,-2.4623048,5.6612115,10GMP,
W37596,-4.0201154,6.967408,13Baso,
W37597,-7.0764174,10.460929,16Neu,
W37599,-0.42341512,7.305499,8Mk,
W37601,-7.1952567,7.0049634,13Baso,
W37602,5.082047,4.4292083,5Ery,
W37603,3.39263,5.41169,6Ery,
W37604,-6.078179,7.624339,14Mo,
W37605,6.36181,5.835831,2Ery,
W37606,3.9819183,4.228083,6Ery,
W37607,7.406588,2.7039633,3Ery,
W37608,-3.6145034,7.3586645,14Mo,
W37609,3.3106418,4.9155307,7MEP,
W37610,-0.04263604,4.9030275,7MEP,7MEP
W37611,-7.1155906,7.4648814,14Mo,
W37612,4.1256704,6.107703,5Ery,
W37613,-6.563961,7.091269,13Baso,
W37614,6.9064374,6.2070975,2Ery,
W37615,-6.5501795,10.73801,16Neu,
W37617,1.2712448,5.349384,12Baso,
W37618,-7.476824,8.982482,14Mo,
W37619,-0.5007263,6.7546754,8Mk,
W37620,6.637358,4.695318,4Ery,
W37621,7.6318665,3.1595757,3Ery,
W37622,7.8204947,3.8342862,2Ery,
W37624,-8.20639,7.5511775,14Mo,
W37625,-1.9637936,5.6745276,7MEP,
W37626,-2.750095,4.061339,19Lymph,19Lymph
W37627,-1.107103,7.4515133,7MEP,
W37628,-1.9653655,6.406916,10GMP,
W37629,-5.5582995,7.253644,13Baso,
W37630,8.169118,6.5186124,2Ery,
W37631,8.265395,6.138288,2Ery,
W37633,8.379157,4.114784,3Ery,
W37634,7.5564895,3.187071,3Ery,
W37635,3.3374946,5.6570473,6Ery,
W37642,-0.120996974,5.3323956,7MEP,
W37644,-0.8201454,6.604297,8Mk,
W37650,1.2896528,4.2820387,2Ery,
W37651,9.38072,5.894486,1Ery,
W37653,-3.370893,6.5052223,9GMP,
W37654,-9.065881,7.6011934,13Baso,
W37657,-4.6038504,8.930645,15Mo,
W37658,3.2164915,4.7783613,6Ery,
W37660,-8.252759,8.028722,13Baso,
W37661,8.795059,4.572333,3Ery,
W37663,-7.7326527,11.387543,16Neu,15Mo
W37664,-7.712973,7.6306977,14Mo,
W37665,5.8027134,5.6979556,5Ery,
W37666,0.17643489,4.9032435,7MEP,
W37667,-6.9504466,8.147016,13Baso,
W37668,6.2614503,3.8943343,4Ery,
W37669,-6.836058,8.274824,13Baso,
W37670,8.437878,4.554201,2Ery,
W37673,-6.270795,9.804707,15Mo,
W37674,-1.31274,4.8471646,7MEP,
W37675,8.700572,5.1336207,3Ery,
W37676,-4.3586464,6.287047,10GMP,
W37680,-8.097527,7.3742595,13Baso,
W37682,7.5363507,4.4363713,3Ery,
W37683,9.273425,5.67826,1Ery,
W37684,-7.027755,8.439275,13Baso,
W37685,-5.3292594,6.9440274,13Baso,
W37686,1.05483,5.4571967,7MEP,
W37687,-5.9082394,9.534071,16Neu,
W37689,-7.936855,8.127561,14Mo,
W37691,9.2041,3.8089428,3Ery,3Ery
W37692,8.912573,5.193435,2Ery,
W37693,8.736713,5.596207,1Ery,
W37694,-7.181107,7.376007,13Baso,
W37696,-8.181816,10.53502,15Mo,15Mo
W37698,-0.52352613,7.653165,8Mk,
W37699,9.173365,5.0750813,2Ery,
W37700,-7.738088,7.8981595,14Mo,
W37701,-7.115363,8.219511,14Mo,
W37702,-5.485135,8.053785,14Mo,
W37704,-4.817563,6.5432205,9GMP,
W37706,-7.2707686,8.139778,14Mo,
W37707,-4.546969,8.931039,14Mo,
W37708,7.686602,5.9724813,2Ery,
W37709,0.29879177,4.688103,7MEP,
W37710,8.880049,4.8401475,2Ery,
W37711,-6.126807,11.000303,16Neu,
W37712,-6.1322775,5.9038944,10GMP,
W37713,2.8867414,5.188252,6Ery,
W37714,8.8863325,4.9442797,2Ery,
W37715,-6.0250807,8.903972,15Mo,
W37716,-6.0161304,9.23686,14Mo,
W37717,-7.948643,10.777237,15Mo,15Mo
W37718,5.8808975,4.296012,3Ery,
W37719,-2.7038412,7.933982,12Baso,
W37720,8.80577,4.965591,2Ery,
W37721,-6.745907,6.319621,13Baso,
W37722,-6.573062,7.6908317,13Baso,
W37723,-0.19831768,4.948197,7MEP,7MEP
W37724,4.1296797,4.4513826,6Ery,
W37725,6.4789653,3.7128332,5Ery,
W37726,4.978049,6.819223,2Ery,
W37727,-2.9190133,4.1432953,19Lymph,19Lymph
W37728,-6.3788757,8.982491,14Mo,
W37729,-1.0979123,5.3209534,12Baso,
W37730,7.724859,6.0685368,2Ery,
W37731,-7.27276,11.288477,16Neu,
W37737,6.669811,4.0526896,4Ery,
W37738,3.0613413,5.2850647,6Ery,
W37739,-6.5454926,6.6106734,13Baso,
W37745,5.687705,4.735843,4Ery,
W37746,8.399932,4.91876,2Ery,
W37747,7.38669,5.426815,4Ery,
W37748,-3.957771,9.098424,15Mo,
W37753,9.65284,5.141886,1Ery,
W37754,-8.341814,10.408089,15Mo,15Mo
W37756,-4.9033084,7.036444,13Baso,
W37758,-5.9095125,8.978225,15Mo,
W37759,4.7207274,6.776786,3Ery,
W37761,4.6807127,4.377063,6Ery,
W37762,-1.4644223,5.154567,12Baso,
W37763,-1.857445,6.8180466,12Baso,
W37764,-3.9711823,7.924531,13Baso,
W37765,4.7396116,4.903797,5Ery,
W37766,-3.6810412,8.845631,16Neu,
W37769,6.1379933,4.18834,6Ery,
W37770,-7.235175,7.638071,13Baso,
W37771,9.140009,4.8594623,2Ery,
W37772,-8.319107,8.101047,14Mo,
W37776,4.060872,6.1277676,3Ery,
W37777,-6.3542895,8.484786,14Mo,
W37778,-0.53189796,6.646522,8Mk,
W37779,7.073089,7.7243047,2Ery,
W37780,-3.7634122,5.869789,9GMP,
W37781,5.3693457,4.2522945,4Ery,
W37782,6.627527,2.7989368,3Ery,
W37786,6.6129904,4.466238,3Ery,
W37788,-6.277511,8.300875,14Mo,
W37790,5.709136,7.187676,2Ery,
W37793,-5.1007,6.45956,10GMP,
W37794,-6.389792,11.473595,16Neu,
W37795,3.8361173,5.2522283,6Ery,
W37796,-7.729832,7.9568458,14Mo,
W37797,-6.526345,11.266693,16Neu,
W37798,6.672776,4.2939205,5Ery,
W37799,-2.5471199,6.18668,10GMP,
W37800,-6.1157417,8.888879,16Neu,
W37801,-1.5964875,7.0337887,12Baso,
W37802,-4.9132466,2.5738235,11DC,11DC
W37803,-7.4205456,9.533786,15Mo,
W37804,6.7967296,6.164794,2Ery,
W37805,-7.4735427,7.1113405,13Baso,
W37806,-0.20795612,4.4232006,7MEP,
W37807,-6.247189,7.580002,13Baso,
W37809,-5.9962363,7.4129715,13Baso,
W37811,7.7158813,6.0227327,2Ery,
W37812,5.7810636,3.3907309,6Ery,
W37813,-7.228745,8.2039175,14Mo,
W37817,5.2809863,6.0756226,5Ery,
W37818,-6.1487627,11.066845,16Neu,
W37819,4.686742,5.4375863,5Ery,
W37820,4.2890153,4.6918993,6Ery,
W37821,-1.669867,4.985404,18Eos,
W37822,-7.4334264,7.767468,14Mo,
W37825,-7.8184695,7.7843256,14Mo,
W37826,-8.1675415,7.1976695,13Baso,
W37828,-7.9223337,11.122315,15Mo,15Mo
W37830,1.6596082,4.1708894,2Ery,
W37833,9.334539,4.4187646,2Ery,
W37835,-6.6463647,6.1309853,13Baso,
W37838,1.6201046,4.276744,3Ery,
W37841,8.220014,5.564866,2Ery,
W37842,-6.559307,8.8442135,15Mo,
W37843,-2.6547146,7.268367,12Baso,
W37844,2.6735425,5.2731175,7MEP,
W37847,0.9192163,3.9926102,3Ery,
W37848,1.3098977,4.0958476,4Ery,
W37849,-8.054125,10.429925,15Mo,
W37850,-7.8433743,7.7641945,14Mo,
W37851,7.761035,4.1726966,4Ery,
W37852,8.062892,5.135717,4Ery,
W37853,-6.39592,7.81647,13Baso,
W37854,-1.3277861,5.550232,9GMP,
W37857,-1.3565562,5.153868,12Baso,
W37858,8.508414,5.1248045,2Ery,
W37859,5.7448115,4.4476376,4Ery,
W37860,-1.1902608,7.234888,9GMP,
W37861,-6.968142,11.638089,16Neu,
W37863,-4.67101,9.930347,16Neu,
W37864,6.7084846,6.5617766,2Ery,
W37865,8.859036,5.41088,2Ery,
W37866,-7.226464,11.4094,16Neu,
W37867,1.2233135,5.4183025,7MEP,
W37868,-5.7739396,8.393779,14Mo,
W37870,-2.208226,6.013512,14Mo,
W37872,-7.3328743,8.559271,14Mo,
W37873,5.7796617,5.4778175,5Ery,
W37874,6.2606654,4.8716526,5Ery,
W37875,8.58916,4.7960844,3Ery,
W37876,7.866701,3.993032,3Ery,
W37878,6.8516655,7.211036,2Ery,
W37879,-4.637963,9.67092,18Eos,
W37880,-7.0833254,7.9037933,14Mo,
W37881,8.373379,4.562917,3Ery,
W37882,-7.689686,8.331741,14Mo,
W37883,-5.7268195,9.677655,14Mo,
W37885,-1.3125672,5.0232987,12Baso,
W37886,-6.2009068,8.834896,14Mo,
W37887,7.2557464,3.72185,4Ery,
W37888,8.783972,3.014097,3Ery,3Ery
W37889,-8.112368,8.140908,14Mo,
W37890,0.4343115,5.0378184,7MEP,
W37891,1.6116147,5.199464,5Ery,
W37892,-2.7526932,7.683737,12Baso,
W37893,7.9224267,4.568148,2Ery,
W37894,-4.841522,8.481214,15Mo,
W37895,-5.3607745,10.038272,14Mo,
W37896,8.569332,4.213562,3Ery,
W37898,-5.121057,9.431838,14Mo,
W37899,7.8234377,6.289487,2Ery,
W37900,7.4852247,4.3619814,3Ery,
W37901,7.9565606,6.4252133,2Ery,
W37902,-6.5941935,11.621026,16Neu,
W37903,1.0625161,5.1322937,7MEP,
W37904,8.571057,5.9956975,2Ery,
W37906,-4.4159393,6.018359,10GMP,
W37907,-1.4115849,5.0382586,7MEP,
W37908,1.977607,4.6444106,5Ery,
W37909,1.5853755,4.811388,5Ery,
W37910,-5.761381,6.53964,13Baso,
W37913,0.9900911,4.7350903,6Ery,
W37914,0.35203227,4.58582,7MEP,
W37915,7.596453,3.501368,3Ery,
W37916,-1.1825453,5.726486,10GMP,
W37917,6.5470066,5.1733603,5Ery,
W37918,5.5114107,4.7835927,5Ery,
W37919,7.5912075,7.339872,1Ery,
W37921,-7.7760744,6.824367,13Baso,
W37922,-6.6610303,9.550965,15Mo,
W37923,4.7377,4.7679577,3Ery,
W37924,2.280758,5.2152724,6Ery,
W37929,-8.007459,8.928285,14Mo,
W37930,-4.9788337,2.6061041,11DC,11DC
W37935,6.4456277,5.164877,3Ery,
W37937,7.03868,3.9819794,3Ery,
W37938,8.9263935,4.63718,3Ery,
W37939,-6.9487343,11.122153,16Neu,
W37940,5.4386983,4.2226543,3Ery,
W37941,-6.232636,5.85885,9GMP,
W37942,-4.7244763,9.049709,14Mo,
W37943,-1.2333521,5.222149,12Baso,
W37945,-1.4453744,5.8190184,9GMP,
W37946,-6.825216,8.041737,14Mo,
W37948,-7.1835833,8.735011,14Mo,
W37951,-0.62831336,6.001675,8Mk,
W37952,4.570858,6.498145,5Ery,
W37953,-5.1515574,9.907285,15Mo,
W37954,-6.4645214,9.17941,15Mo,
W37955,9.210391,4.8472786,3Ery,
W37956,-6.6457253,10.705396,16Neu,
W37957,-4.1708255,8.995504,15Mo,
W37959,5.829625,6.33504,4Ery,
W37960,5.425532,6.181367,3Ery,
W37961,-0.4428784,7.1888227,8Mk,
W37962,-7.726574,9.548381,15Mo,
W37963,-5.9406953,9.499446,14Mo,
W37964,4.3787723,6.0799675,5Ery,
W37965,3.9779255,5.799178,3Ery,
W37967,1.2119339,3.9975786,4Ery,
W37969,7.007004,6.065518,2Ery,
W37970,-0.747696,6.843695,8Mk,
W37971,0.23563367,5.3631454,7MEP,
W37972,-5.798903,6.1568184,10GMP,
W37974,-5.628901,10.333202,15Mo,
W37975,-8.064664,8.279493,14Mo,
W37977,-4.4935684,7.947298,13Baso,
W37978,8.426944,4.481731,3Ery,
W37979,-0.21058923,5.197772,7MEP,
W37980,8.404277,6.466417,2Ery,
W37982,-8.413895,7.7240076,13Baso,
W37983,1.1990602,3.9361844,2Ery,
W37984,-5.2616687,6.117071,10GMP,
W37985,9.260151,5.93009,2Ery,
W37986,8.889812,5.8161163,2Ery,
W37988,8.436925,5.767849,2Ery,
W37989,-2.3750184,7.3872447,12Baso,
W37990,-7.4581146,8.390516,14Mo,
W37991,9.398895,5.517918,1Ery,
W37992,-3.7976017,7.6316357,14Mo,
W37993,-4.63025,9.290778,14Mo,
W37994,9.383659,5.347708,2Ery,
W37995,-7.216211,9.220328,14Mo,
W37996,-6.7547636,11.676389,16Neu,
W37997,-6.8397593,7.8946357,14Mo,
W38000,-0.5419824,6.3280964,8Mk,
W38001,-5.4794445,9.445777,16Neu,
W38002,-6.3971267,11.252479,16Neu,
W38003,7.7454176,7.0257626,2Ery,
W38004,-0.89663345,7.194919,8Mk,
W38005,6.923088,3.9920042,5Ery,
W38006,4.1626964,4.4212613,6Ery,
W38007,-2.631834,3.6885335,19Lymph,19Lymph
W38008,-4.3651834,9.178222,15Mo,
W38009,-3.7357116,7.5018625,13Baso,
W38010,5.0336943,4.7479315,5Ery,
W38011,-7.86502,8.520437,14Mo,
W38012,6.3149853,5.0393314,5Ery,
W38013,3.4401753,5.2444277,6Ery,
W38014,-6.5654225,11.32451,16Neu,
W38017,8.591359,2.8459244,3Ery,3Ery
W38018,-8.688749,9.696852,15Mo,
W38019,1.3150085,5.15425,7MEP,
W38020,0.7744259,5.4472513,7MEP,
W38021,-8.96809,7.803288,10GMP,
W38022,-8.701376,7.8398137,14Mo,
W38023,8.698633,3.5174232,3Ery,
W38025,6.619536,4.235267,4Ery,
W38026,-8.230278,7.1531835,13Baso,
W38027,-8.04009,9.214622,15Mo,
W38028,-5.250106,2.7404637,11DC,11DC
W38030,-2.306458,7.039063,17Neu,
W38031,5.780144,4.300864,4Ery,
W38032,5.4014482,3.658836,6Ery,
W38033,8.920175,4.3196526,3Ery,
W38034,8.43753,2.798611,3Ery,3Ery
W38035,-0.09063429,4.5861793,7MEP,
W38036,-0.66450465,7.39216,8Mk,
W38037,3.373883,4.335761,6Ery,
W38038,-1.1120834,4.4782057,11DC,
W38039,-7.8700666,10.769179,16Neu,15Mo
W38040,7.965906,2.7734313,3Ery,
W38041,-8.545545,7.0970263,14Mo,
W38042,7.187008,4.0222726,4Ery,
W38043,7.9373803,3.4372728,4Ery,
W38044,-5.146983,2.6851776,11DC,11DC
W38045,3.4264874,4.7439284,3Ery,
W38046,-8.882184,7.702341,14Mo,
W38047,-8.138338,8.30765,15Mo,
W38048,8.591765,2.8012586,3Ery,3Ery
W38049,-5.572243,5.950609,10GMP,
W38050,4.1356463,3.925998,6Ery,
W38051,7.3105183,5.8672543,2Ery,
W38052,-7.225565,10.767605,16Neu,
W38053,-6.976084,9.9555435,15Mo,
W38054,0.36811754,5.9267206,7MEP,
W38055,8.120849,2.806261,3Ery,3Ery
W38056,-4.2737927,6.812807,10GMP,
W38057,8.124022,2.6667066,3Ery,3Ery
W38058,-7.037407,7.4600286,14Mo,
W38059,-0.13081048,4.896678,7MEP,7MEP
W38060,5.618879,4.870556,6Ery,
W38061,-5.3893566,6.079801,10GMP,
W38062,-4.4692984,5.9569116,10GMP,
W38063,8.878695,3.5916119,3Ery,
W38064,-0.492831,4.59463,7MEP,
W38065,9.046087,4.228485,2Ery,
W38066,7.3679447,4.7403903,4Ery,
W38067,0.59543306,4.8015156,7MEP,
W38068,-5.009715,6.7725015,13Baso,
W38069,4.394344,4.188095,6Ery,
W38070,-5.769968,9.578837,15Mo,
W38071,-0.16843258,6.3897786,8Mk,
W38072,-5.772083,6.0918436,10GMP,
W38073,6.604368,2.923482,4Ery,
W38074,7.5561247,4.2719746,4Ery,
W38075,7.291518,2.809755,3Ery,
W38076,3.2254996,4.720305,7MEP,
W38077,8.393999,6.6312885,2Ery,
W38078,-7.273866,11.111779,16Neu,
W38079,6.475509,4.702332,3Ery,
W38080,7.1900883,2.7164745,3Ery,
W38081,5.4016514,3.867153,6Ery,
W38082,2.6830597,4.7851114,6Ery,
W38083,0.31558123,4.2585683,7MEP,
W38084,6.5952163,3.7450159,4Ery,
W38085,-7.808455,10.452846,16Neu,
W38086,8.295014,5.188026,2Ery,
W38087,-6.435441,6.2456074,13Baso,
W38088,-3.6494129,6.2575336,10GMP,
W38090,7.7014074,4.3857346,3Ery,
W38091,7.9959893,2.8454328,3Ery,3Ery
W38092,-3.9846625,6.6012197,10GMP,
W38093,3.0476193,4.7701674,6Ery,
W38094,-5.378119,7.111691,14Mo,
W38095,-8.651726,9.748189,15Mo,
W38096,0.5512371,5.5617704,7MEP,
W38097,-4.497599,7.318918,13Baso,
W38098,-6.714777,7.634443,14Mo,
W38100,-7.321424,7.441836,14Mo,
W38101,-6.1545796,7.7372665,14Mo,
W38102,7.608502,5.5824447,2Ery,
W38103,-5.533352,10.284297,16Neu,
W38104,0.74274075,4.8933587,7MEP,
W38105,-7.5835857,8.572199,14Mo,
W38106,-6.5247912,6.087498,10GMP,
W38107,-8.34061,7.6925864,14Mo,
W38108,2.8662994,4.626576,6Ery,
W38109,-8.922946,8.108847,14Mo,
W38110,-6.517239,11.264512,16Neu,
W38111,7.772987,4.6887093,2Ery,
W38112,-5.5776987,6.161588,10GMP,
W38113,-5.260207,10.665071,16Neu,
W38114,-3.2782085,7.7065964,14Mo,
W38115,-6.965807,6.948693,14Mo,
W38116,4.8944993,5.019065,5Ery,
W38117,-2.4205823,7.678276,12Baso,
W38118,7.308365,4.501156,4Ery,
W38119,9.007229,3.5615165,3Ery,3Ery
W38121,-6.5744243,6.2017655,13Baso,
W38123,8.091253,5.395855,2Ery,
W38124,6.399611,5.076629,4Ery,
W38125,5.1118784,4.6933823,4Ery,
W38126,5.9271154,6.2725596,3Ery,
W38127,5.8611054,3.9167745,3Ery,
W38128,-6.8296113,6.529938,13Baso,
W38129,-1.0608175,4.596516,12Baso,
W38130,-6.7173905,8.198007,14Mo,
W38131,-6.880278,11.430869,16Neu,
W38132,5.1689415,4.643617,3Ery,
W38133,4.8365326,4.934881,5Ery,
W38134,1.7814733,5.376075,6Ery,
W38135,-0.62583315,4.2966037,7MEP,
W38136,7.2580366,3.4293017,4Ery,
W38137,6.3295074,4.1269584,4Ery,
W38138,7.0196266,4.96513,5Ery,
W38140,-6.159203,8.222714,14Mo,
W38141,-5.2178073,7.645584,14Mo,
W38142,7.3765926,6.99253,2Ery,
W38143,0.45218953,5.32203,12Baso,
W38144,8.5975065,3.2947834,3Ery,3Ery
W38145,5.9448624,6.1958804,5Ery,
W38146,7.1306386,6.3222594,2Ery,
W38147,7.629021,7.1773324,2Ery,
W38148,-5.516396,11.27882,16Neu,
W38149,-0.38872692,5.1941037,7MEP,
W38150,4.953628,6.157236,5Ery,
W38151,7.416503,7.026534,2Ery,
W38152,-0.3323023,4.233749,7MEP,
W38153,4.7169704,4.085706,3Ery,
W38154,5.2340007,5.3495283,4Ery,
W38155,7.859747,5.5105247,2Ery,
W38156,4.7572722,5.0497437,5Ery,
W38157,-3.1767685,6.457409,10GMP,
W38158,8.230895,6.8586197,1Ery,
W38159,-1.4313287,4.9508715,10GMP,
W38160,-4.7935023,2.4761913,11DC,11DC
W38161,-6.916947,8.250994,16Neu,
W38162,6.6396117,4.8746724,2Ery,
W38163,7.9722137,5.6817317,2Ery,
W38164,7.477851,7.4407663,2Ery,
W38165,4.5797343,6.452774,5Ery,
W38166,4.983386,5.476666,5Ery,
W38167,-6.3715086,7.9776435,14Mo,
W38168,-7.804369,8.20355,14Mo,
W38169,-7.9364314,10.65135,16Neu,15Mo
W38170,-0.54839635,6.061299,10GMP,
W38171,-7.367508,7.750514,14Mo,
W38172,-7.1678987,8.426314,14Mo,
W38173,6.5586514,5.864445,4Ery,
W38175,9.000127,5.1946306,2Ery,
W38176,5.255651,3.715998,6Ery,
W38177,8.000186,6.6059227,2Ery,
W38178,-2.7817514,3.6425078,19Lymph,19Lymph
W38180,-6.921359,10.713178,16Neu,
W38181,7.4893613,7.354407,1Ery,
W38182,-4.9346876,7.387418,13Baso,
W38183,8.049234,4.711622,3Ery,
W38184,-8.3024645,9.341271,15Mo,
W38185,6.823252,4.610125,3Ery,
W38186,6.0507083,5.1081033,5Ery,
W38187,7.9981194,5.647473,2Ery,
W38188,7.238328,7.2964773,2Ery,
W38189,-6.322563,11.482941,16Neu,
W38190,6.4442997,4.408589,4Ery,
W38191,-2.3600287,7.3535886,12Baso,
W38192,7.773788,5.3174663,3Ery,
W38193,-0.19875735,6.6712866,12Baso,
W38194,-7.7400413,8.8196335,14Mo,
W38195,-6.8043504,10.227192,15Mo,
W38196,-6.271753,7.7586303,14Mo,
W38197,-3.935403,6.1169744,10GMP,
W38198,4.0606694,4.7793317,6Ery,
W38199,-3.1147077,7.3900757,12Baso,
W38200,7.8514233,5.1634197,2Ery,
W38201,7.8195963,4.052161,3Ery,
W38202,5.730315,5.2274575,4Ery,
W38203,-0.013484624,5.1464443,7MEP,
W38204,7.3418274,4.879733,4Ery,
W38205,-8.569793,9.096493,15Mo,
W38206,8.560809,5.047326,2Ery,
W38207,-1.5444617,4.7508965,7MEP,
W38208,-6.839952,9.927226,14Mo,
W38209,7.4856753,2.9887755,3Ery,
W38210,-8.410934,7.38621,13Baso,
W38211,8.891509,3.762023,3Ery,
W38212,-7.1761236,10.329707,15Mo,
W38213,-8.320674,9.94217,15Mo,
W38214,-9.210306,7.497861,13Baso,
W38215,-8.320082,7.8045115,14Mo,
W38217,9.471977,4.335271,4Ery,
W38218,-8.603419,7.505264,14Mo,
W38219,1.8517754,5.504558,6Ery,
W38220,7.245825,2.8306155,3Ery,
W38221,-7.51201,7.03775,14Mo,
W38222,1.0550274,6.172865,8Mk,
W38223,-0.54524255,6.076736,8Mk,
W38224,0.342488,4.7500505,7MEP,
W38225,-8.639525,10.19498,15Mo,15Mo
W38226,-6.698164,10.470743,15Mo,
W38227,-6.7316246,6.298154,13Baso,
W38228,-8.374807,10.868636,16Neu,15Mo
W38229,2.1394162,5.1272783,6Ery,
W38230,9.191253,4.16319,3Ery,
W38231,8.679114,5.21469,2Ery,
W38232,-8.263069,8.447943,13Baso,
W38233,8.185321,4.084219,3Ery,
W38234,7.854902,3.0496795,3Ery,
W38235,-8.801679,7.221926,13Baso,
W38236,-5.3670483,2.9626734,11DC,11DC
W38237,-4.6304035,6.2252192,10GMP,
W38238,7.3537464,3.5863264,4Ery,
W38239,8.314831,6.482144,2Ery,
W38240,1.8727411,5.748033,7MEP,
W38241,-0.2943302,5.160822,7MEP,7MEP
W38242,5.3948927,4.425219,6Ery,
W38243,7.135402,4.3362226,3Ery,
W38244,-6.395087,10.458719,16Neu,
W38245,0.03273824,4.8288665,7MEP,
W38246,-7.5429096,9.046365,14Mo,
W38247,6.7067494,2.6798544,3Ery,
W38248,5.616823,4.7573643,6Ery,
W38249,-4.566721,5.8352885,9GMP,
W38250,-2.28948,7.206335,12Baso,
W38251,8.340115,3.5679152,3Ery,
W38252,-7.7638845,7.0632286,14Mo,
W38253,-4.484611,6.3251834,10GMP,
W38254,6.0090227,4.5561576,4Ery,
W38255,1.5386528,5.4581547,7MEP,
W38256,3.8575406,4.6437697,6Ery,
W38257,-6.512558,6.984726,14Mo,
W38258,-7.463398,6.956718,14Mo,
W38259,7.210509,4.948631,4Ery,
W38260,8.429059,5.1287694,3Ery,
W38261,6.9472327,4.22581,3Ery,
W38262,7.93129,5.115829,2Ery,
W38263,-8.31733,10.2903385,16Neu,15Mo
W38264,9.073802,3.8678608,3Ery,3Ery
W38266,1.8202918,4.9422135,7MEP,
W38267,-2.6033926,7.942907,18Eos,
W38268,4.8245597,3.8133998,6Ery,
W38269,-8.776755,7.0740347,13Baso,
W38270,6.073455,4.3768883,4Ery,
W38271,-3.9856474,6.6745152,10GMP,
W38272,4.844626,3.4122608,6Ery,
W38273,6.9507747,5.033416,2Ery,
W38274,-0.8482099,4.7499876,12Baso,
W38275,7.87707,6.915375,1Ery,
W38276,4.49371,4.4804254,4Ery,
W38277,-6.54732,7.099985,13Baso,
W38278,-6.405654,8.912323,14Mo,
W38279,-6.9539666,9.553023,14Mo,
W38280,-5.851346,6.69986,13Baso,
W38282,7.299984,3.8421097,3Ery,
W38283,8.734379,5.099786,3Ery,
W38284,-6.5276403,10.954303,16Neu,
W38285,-7.7198267,10.11081,15Mo,
W38286,-5.555029,7.2215514,14Mo,
W38287,6.220691,3.3976676,3Ery,
W38288,3.789126,4.552508,6Ery,
W38289,7.6417623,4.765505,2Ery,
W38290,-5.5600786,5.9892898,10GMP,
W38291,-6.779449,8.967597,14Mo,
